storeID,productID,date,isSales,newPrice
1,1,2018-01-01,1,2.19
1,1,2019-10-01,0,1.65
1,1,2019-04-08,1,1.72
1,1,2019-08-11,0,2.37
1,1,2018-06-11,0,2.03
1,2,2018-01-01,1,1.35
1,2,2020-03-24,0,1.57
1,2,2019-09-10,0,1.8
1,2,2018-01-31,0,1.13
1,2,2019-03-18,0,1.58
1,2,2018-11-04,0,1.37
1,2,2019-10-25,0,1.61
1,2,2018-01-20,0,1.54
1,3,2018-01-01,0,1.23
1,3,2019-10-26,0,1.21
1,3,2018-11-04,0,1.21
1,3,2019-05-18,0,1.23
1,4,2018-01-01,1,1.0
1,4,2019-09-07,0,1.18
1,4,2019-12-27,0,1.45
1,4,2019-09-04,0,1.09
1,4,2018-08-19,0,1.37
1,4,2018-10-23,0,1.51
1,4,2020-01-21,1,1.19
1,4,2019-03-30,0,1.34
1,5,2018-01-01,0,1.17
1,5,2019-11-11,0,1.19
1,5,2020-03-01,1,0.97
1,5,2018-03-20,0,0.94
1,5,2020-01-05,1,1.12
1,5,2018-01-24,1,1.14
1,5,2019-09-23,1,0.77
1,6,2018-01-01,0,1.61
1,6,2018-10-21,0,1.45
1,6,2019-10-01,0,1.58
1,6,2018-03-27,1,1.72
1,6,2019-06-02,0,1.68
1,7,2018-01-01,0,1.45
1,7,2019-09-14,1,1.5
1,7,2018-01-23,0,1.59
1,7,2018-07-15,0,1.46
1,7,2020-04-17,0,1.52
1,7,2020-03-25,0,1.49
1,8,2018-01-01,0,1.49
1,8,2018-12-14,0,1.38
1,8,2018-08-14,1,1.32
1,8,2018-09-01,0,1.04
1,8,2019-01-25,1,0.85
1,8,2018-07-18,0,1.05
1,8,2019-11-24,0,1.16
1,8,2018-02-12,0,1.02
1,8,2019-12-27,0,1.37
1,8,2019-05-15,1,1.38
1,9,2018-01-01,0,1.87
1,9,2019-06-26,0,1.71
1,9,2019-08-15,0,2.05
1,9,2019-06-09,0,1.45
1,9,2018-06-06,0,1.7
1,9,2019-04-18,0,1.73
1,9,2019-11-20,0,1.66
1,9,2020-03-28,0,1.63
1,9,2018-09-11,1,1.55
1,10,2018-01-01,0,1.19
1,10,2018-09-20,0,1.51
1,10,2018-08-31,0,1.34
1,10,2020-04-03,1,1.37
1,10,2018-04-04,1,1.35
1,11,2018-01-01,0,0.71
1,11,2018-04-13,0,0.99
1,11,2018-11-23,0,0.91
1,11,2018-04-18,0,0.81
1,11,2019-08-21,1,0.96
1,11,2019-04-17,0,1.02
1,11,2019-09-06,0,0.67
1,11,2018-04-23,0,1.23
1,11,2018-05-12,1,1.14
1,11,2018-03-29,0,1.0
1,12,2018-01-01,0,1.74
1,12,2018-12-08,0,1.51
1,12,2018-10-25,1,1.45
1,12,2019-04-26,0,1.44
1,12,2018-02-04,0,1.43
1,12,2019-03-01,0,1.97
1,13,2018-01-01,0,1.35
1,13,2018-04-09,0,1.13
1,13,2019-07-23,1,1.36
1,13,2019-02-20,0,1.24
1,13,2019-11-03,0,0.79
1,13,2018-05-02,0,1.26
1,13,2018-07-01,0,0.99
1,13,2019-02-06,0,1.29
1,14,2018-01-01,0,1.51
1,14,2018-01-02,0,1.88
1,14,2019-09-25,1,1.87
1,14,2019-04-28,0,1.7
1,14,2019-12-31,0,1.84
1,14,2019-04-05,0,1.71
1,14,2018-08-18,0,1.82
1,14,2018-10-28,0,1.61
1,14,2020-04-14,1,1.81
1,15,2018-01-01,0,1.94
1,15,2019-09-06,0,1.33
1,15,2020-01-24,0,1.88
1,15,2019-12-01,0,1.75
1,15,2018-05-15,0,2.06
1,15,2019-04-02,0,1.56
1,15,2018-11-08,1,2.35
1,15,2018-08-11,0,1.77
1,15,2018-09-03,1,1.71
1,15,2019-12-19,0,2.15
1,16,2018-01-01,0,2.48
1,16,2019-04-26,0,2.54
1,16,2019-06-25,0,2.56
1,16,2020-01-29,0,2.63
1,16,2018-04-06,0,2.32
1,16,2018-01-07,1,2.57
1,16,2019-09-06,1,2.5
1,16,2020-04-19,0,3.02
1,17,2018-01-01,0,3.16
1,17,2019-03-27,0,2.95
1,17,2019-10-27,0,2.8
1,17,2020-01-16,0,2.68
1,17,2020-03-12,0,4.59
1,17,2020-01-22,0,2.62
1,17,2020-01-25,0,4.08
1,18,2018-01-01,0,3.99
1,18,2020-04-16,1,3.89
1,18,2019-01-29,1,4.21
1,18,2018-07-13,0,3.65
1,18,2019-08-19,0,3.66
1,18,2019-05-28,0,4.11
1,18,2019-06-21,0,3.84
1,18,2018-06-19,0,3.84
1,18,2019-12-23,0,4.01
1,19,2018-01-01,0,3.98
1,19,2019-10-03,1,3.66
1,19,2018-05-16,0,3.89
1,19,2018-09-07,0,3.94
1,19,2018-03-09,0,4.0
1,19,2018-03-30,0,4.04
1,20,2018-01-01,1,7.79
1,20,2020-01-04,0,7.5
1,20,2018-01-31,0,6.44
1,20,2018-09-12,0,7.06
1,20,2018-10-23,0,6.57
1,20,2020-02-17,0,7.41
1,20,2018-01-21,0,6.91
1,21,2018-01-01,1,6.4
1,21,2019-11-14,0,7.06
1,21,2018-11-28,0,6.83
1,21,2019-01-06,0,6.02
1,21,2019-01-16,0,6.99
1,21,2018-03-13,1,7.08
1,21,2019-07-21,0,6.46
1,21,2020-03-07,0,6.95
1,22,2018-01-01,0,7.92
1,22,2019-03-06,0,9.0
1,22,2019-03-23,0,8.39
1,22,2018-11-10,0,8.41
1,22,2019-08-24,0,9.14
1,22,2020-03-10,0,6.76
1,22,2018-06-04,0,8.27
1,22,2019-12-18,0,8.18
1,23,2018-01-01,1,6.59
1,23,2018-10-28,1,6.65
1,23,2020-02-29,1,6.39
1,23,2019-07-19,1,6.01
1,23,2019-01-10,0,6.73
1,24,2018-01-01,0,7.41
1,24,2020-02-07,0,6.96
1,24,2018-02-24,1,7.41
1,24,2019-06-05,1,6.97
1,24,2018-10-16,1,6.8
1,24,2018-03-31,0,7.03
1,24,2018-03-13,0,6.49
1,24,2018-07-23,0,6.87
1,24,2018-09-26,0,6.97
1,25,2018-01-01,0,13.88
1,25,2018-01-27,0,13.24
1,25,2018-09-05,0,16.37
1,25,2020-04-22,1,16.2
1,26,2018-01-01,0,3.27
1,26,2018-09-21,0,1.37
1,26,2020-01-21,1,3.42
1,26,2018-05-29,0,1.28
1,26,2018-11-23,0,2.53
1,26,2020-01-29,0,0.97
1,26,2019-06-25,1,1.85
1,26,2019-09-30,0,0.13
1,26,2018-08-05,0,5.98
1,27,2018-01-01,1,8.56
1,27,2018-07-19,0,4.81
1,27,2020-02-07,0,6.6
1,27,2020-02-02,1,6.58
1,28,2018-01-01,0,4.15
1,28,2019-11-15,0,1.09
1,28,2019-10-02,0,3.41
1,28,2020-01-15,0,2.78
1,28,2018-10-19,0,2.66
1,29,2018-01-01,0,7.9
